Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
15.5,Rainy,High,Morning,Bike,14,8,84
18.92,Foggy,High,Night,Bike,5,2,59
17.07,Snowy,Low,Evening,Car,26,6,86
5.32,Rainy,Medium,Evening,Scooter,30,0,53
9.29,Clear,Medium,Afternoon,Scooter,22,3,49
3.02,Snowy,Medium,Morning,Scooter,18,3,40
19.1,Clear,Medium,Afternoon,Scooter,33,6,90
12.32,Foggy,High,Night,Car,16,7,52
4.96,Snowy,Medium,Evening,Car,39,0,66
13.6,Snowy,High,Evening,Bike,16,4,87
12.55,Clear,High,Afternoon,Scooter,11,6,62
7.48,Snowy,High,Night,Scooter,33,3,65
2.71,Snowy,Medium,Evening,Scooter,15,3,35
13.6,Snowy,Low,Night,Car,37,3,79
10.65,Foggy,Low,Night,Scooter,10,5,39
15.56,Clear,Medium,Afternoon,Car,19,6,67
10.64,Snowy,Low,Morning,Scooter,36,1,79
17.12,Rainy,Low,Afternoon,Scooter,15,4,56
11.26,Rainy,High,Morning,Bike,27,3,63
11.44,Rainy,High,Night,Scooter,30,2,72
17.59,Rainy,Medium,Morning,Scooter,38,6,101
8.37,Foggy,Medium,Night,Bike,38,10,56
3.11,Snowy,Low,Evening,Car,33,5,49
1.06,Clear,High,Evening,Car,8,6,19
15.23,Snowy,Medium,Evening,Scooter,21,4,91
12.6,Foggy,Medium,Afternoon,Car,39,5,87
14.23,Rainy,Medium,Afternoon,Scooter,17,4,62
4.65,Foggy,Medium,Night,Bike,19,6,33
3.16,Snowy,Medium,Evening,Bike,33,1,54
0.78,Clear,Medium,Afternoon,Scooter,33,10,32
7.34,Foggy,Low,Evening,Bike,15,4,41
12.0,Clear,High,Afternoon,Bike,36,5,87
8.15,Foggy,High,Morning,Scooter,6,5,42
9.03,Clear,Medium,Morning,Scooter,18,4,54
18.13,Clear,High,Evening,Bike,24,9,83
7.29,Rainy,High,Night,Car,26,6,53
10.52,Clear,High,Afternoon,Car,15,9,58
15.78,Rainy,Medium,Afternoon,Scooter,31,7,78
8.23,Snowy,Medium,Morning,Scooter,7,6,49
12.63,Snowy,High,Morning,Car,21,4,71
17.32,Rainy,High,Night,Bike,32,0,84
19.02,Rainy,Medium,Night,Car,33,4,117
3.37,Foggy,Low,Night,Car,25,9,28
18.57,Foggy,High,Evening,Car,20,1,106
10.1,Foggy,Low,Morning,Car,24,4,64
5.54,Snowy,High,Evening,Scooter,10,4,48
9.45,Foggy,Low,Morning,Scooter,23,1,54
19.61,Clear,Low,Morning,Bike,9,4,78
10.11,Clear,Low,Afternoon,Bike,7,3,50
6.91,Foggy,Medium,Morning,Bike,5,0,32
12.85,Clear,Low,Morning,Bike,19,2,60
5.18,Snowy,Low,Evening,Car,38,0,63
1.98,Clear,Low,Morning,Scooter,39,10,36
3.01,Snowy,High,Evening,Scooter,29,4,52
3.0,Rainy,Low,Night,Bike,28,3,39
3.46,Rainy,High,Morning,Bike,16,6,39
3.21,Rainy,Low,Morning,Car,22,4,38
13.0,Rainy,Low,Evening,Car,19,9,53
4.05,Clear,Medium,Night,Bike,20,3,40
7.24,Foggy,High,Afternoon,Scooter,31,1,61
17.99,Clear,Low,Night,Scooter,12,3,78
9.74,Snowy,High,Evening,Scooter,29,1,76
13.52,Clear,High,Night,Bike,21,7,79
3.86,Clear,Medium,Evening,Scooter,33,2,42
4.25,Snowy,Medium,Evening,Car,12,8,40
1.3,Rainy,Medium,Afternoon,Car,19,3,30
3.79,Rainy,Medium,Morning,Bike,31,5,52
5.93,Rainy,Medium,Evening,Car,11,9,43
3.95,Foggy,Medium,Evening,Bike,7,4,23
2.23,Snowy,Medium,Afternoon,Scooter,33,9,46
2.85,Snowy,Medium,Evening,Scooter,28,0,51
9.49,Clear,Low,Morning,Scooter,7,8,30
4.52,Foggy,High,Afternoon,Car,24,0,49
7.6,Rainy,Medium,Morning,Bike,19,7,44
10.32,Foggy,Medium,Morning,Scooter,29,8,51
13.96,Snowy,High,Afternoon,Bike,34,8,106
1.27,Snowy,Low,Evening,Scooter,18,0,33
16.09,Clear,High,Morning,Car,11,1,83
12.74,Clear,High,Morning,Car,21,0,65
2.09,Snowy,Medium,Morning,Bike,24,9,41
17.53,Rainy,High,Morning,Car,13,1,86
18.46,Rainy,High,Afternoon,Car,26,9,96
1.69,Foggy,Medium,Afternoon,Bike,6,7,16
5.9,Snowy,Medium,Night,Scooter,28,4,57
16.22,Snowy,Medium,Night,Car,12,10,72
15.09,Rainy,Medium,Morning,Bike,15,6,65
4.1,Rainy,High,Evening,Car,17,1,46
4.58,Snowy,High,Morning,Car,21,7,48
7.72,Clear,Low,Evening,Car,12,10,37
9.95,Snowy,Low,Morning,Car,25,5,58
12.56,Snowy,High,Night,Bike,22,7,81
7.69,Rainy,Low,Night,Bike,34,0,66
9.52,Rainy,High,Evening,Bike,22,0,61
15.08,Clear,Low,Morning,Car,35,6,63
1.22,Clear,Medium,Evening,Car,36,7,37
5.42,Foggy,Low,Night,Car,15,2,34
14.41,Snowy,Medium,Morning,Bike,29,4,98
17.96,Rainy,Medium,Morning,Car,37,0,83
10.48,Clear,Medium,Evening,Scooter,12,6,51
10.88,Foggy,Medium,Afternoon,Car,15,4,49
2.59,Foggy,Low,Evening,Scooter,26,7,29
9.22,Rainy,High,Night,Car,28,7,74
10.89,Rainy,Medium,Night,Bike,21,8,58
5.23,Foggy,Low,Night,Car,16,6,30
5.75,Clear,Medium,Night,Scooter,36,10,44
7.86,Foggy,Low,Night,Scooter,19,0,37
0.89,Snowy,Low,Afternoon,Car,20,2,32
6.78,Snowy,Low,Morning,Scooter,26,7,46
4.62,Rainy,High,Evening,Scooter,32,2,57
6.89,Clear,Low,Evening,Bike,24,7,42
2.84,Clear,Low,Night,Car,37,0,43
17.87,Snowy,High,Evening,Car,14,4,76
12.08,Foggy,High,Night,Car,36,3,73
13.74,Rainy,Low,Afternoon,Scooter,37,4,83
15.89,Foggy,High,Afternoon,Car,6,7,79
10.22,Foggy,Medium,Morning,Car,37,9,56
2.19,Foggy,Medium,Afternoon,Bike,37,3,46
10.97,Clear,High,Afternoon,Bike,17,10,59
11.94,Snowy,High,Morning,Bike,34,3,89
15.04,Clear,Low,Evening,Scooter,37,2,78
8.92,Snowy,High,Night,Car,17,6,53
2.99,Rainy,Low,Night,Bike,30,2,40
6.03,Rainy,Medium,Evening,Bike,26,2,55
7.58,Foggy,High,Morning,Bike,6,10,35
13.1,Snowy,Low,Evening,Car,30,9,87
11.63,Snowy,Low,Afternoon,Car,19,4,62
7.44,Snowy,Medium,Morning,Car,38,4,65
19.74,Foggy,High,Morning,Scooter,15,5,90
12.31,Foggy,Medium,Morning,Scooter,7,7,42
5.13,Rainy,Low,Night,Bike,10,9,30
2.48,Clear,Low,Evening,Car,13,5,21
3.48,Snowy,High,Morning,Bike,10,0,45
5.3,Snowy,Low,Morning,Car,13,7,41
3.63,Clear,High,Morning,Car,35,7,50
4.14,Snowy,Medium,Evening,Car,36,8,58
6.06,Foggy,High,Night,Scooter,16,8,45
3.88,Foggy,High,Afternoon,Scooter,12,1,32
17.99,Snowy,Low,Night,Car,12,1,61
2.06,Foggy,Low,Morning,Bike,32,2,35
10.73,Foggy,High,Night,Car,24,0,59
8.5,Snowy,Low,Night,Car,11,3,51
19.66,Rainy,Low,Afternoon,Bike,15,3,91
2.68,Clear,Low,Evening,Car,24,8,29
8.26,Foggy,High,Evening,Bike,20,8,43
19.4,Rainy,Low,Night,Scooter,8,8,79
17.38,Foggy,High,Night,Scooter,10,9,62
16.43,Foggy,Low,Evening,Bike,26,6,82
5.53,Clear,Medium,Evening,Scooter,30,1,49
3.83,Foggy,Low,Afternoon,Scooter,7,9,16
13.54,Clear,Low,Morning,Bike,18,4,51
18.62,Clear,High,Night,Scooter,15,3,64
11.36,Clear,High,Evening,Car,22,10,69
11.65,Rainy,Low,Night,Car,16,7,66
5.96,Snowy,Medium,Night,Bike,27,1,61
15.51,Rainy,Low,Evening,Scooter,16,5,54
4.15,Snowy,Low,Afternoon,Car,17,4,38
6.81,Snowy,Medium,Night,Car,29,1,66
8.8,Clear,High,Afternoon,Scooter,23,10,57
10.4,Foggy,Low,Evening,Scooter,12,9,33
5.23,Clear,High,Morning,Car,33,0,50
2.74,Foggy,High,Morning,Car,36,7,48
12.41,Snowy,Medium,Night,Bike,22,1,73
6.13,Clear,Medium,Evening,Bike,10,6,30
11.83,Foggy,High,Afternoon,Car,22,8,51
3.51,Rainy,Low,Night,Bike,23,8,36
9.88,Foggy,High,Evening,Car,26,7,68
